ano,mes,maquina,central,codigo_agente,agente_descripcion,region,provincia,pais,tipo_maquina,fuente_generacion,tecnologia,categoria_hidraulica,categoria_region,generacion_neta,grupo_economico,lon,lat,geo_nombre,geo_tecnologia,geo_nombre_age,potencia_instalada,geo_provincia,geo_sistema
2025,2025-03-01,LINCDI01,LINC,CTLINCSG,CT LINCOLN,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,815.637,Sin clasificar,-61.5204088342806,-34.8569096838831,LINCOLN,Térmica,CT LINCOLN,15.0,BUENOS AIRES,Interconectado MEM
2025,2025-03-01,LLANFV,LLANFV,PSPLLANG,PQUE SOLAR PQUE DE LOS LLANOS,NOROESTE,LA RIOJA,Argentina,FOTOVOLTAICA,Renovable,SOL,,Noa,2914.031,EMPRESA FEDERAL DE ENERGÍA S.A.,-66.314,-30.296,Parque de los Llanos (MATER),Fotovoltaica,PQUE SOLAR PQUE DE LOS LLANOS,20.0,LA RIOJA,Interconectado MEM
2025,2025-03-01,LLOMFV,LLOMFV,PFLOMITG,PQUE FOTOVOLTAICO LAS LOMITAS,CUYO,SAN JUAN,Argentina,FOTOVOLTAICA,Renovable,SOL,,Cuyo,280.112,LATINOAMERICANA DE ENERGIA S.A.,-68.4779055555557,-31.4070111111109,PS Las Lomitas,Fotovoltaica,PQUE FOTOVOLTAICO LAS LOMITAS,1.7,SAN JUAN,Interconectado MEM
2025,2025-03-01,LMADHI,LMADHI,HIDMADEG,HIDROELECTRICA LAS MADERAS,NOROESTE,JUJUY,Argentina,HIDRAULICA <=50,Renovable,HI<50,Resto Hidráulico,Noa,6779.597,HOLDEC INVERSORA S.A.,-65.2197364983929,-24.4441987192434,LOS MADERAS,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA LAS MADERAS,30.6,JUJUY,Interconectado MEM
2025,2025-03-01,LMO1HI,LMO1HI,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,TURB HIDRAULICA,Renovable,HI>50,Resto Hidráulico,Centro,14975.428,PROVINCIAL,-64.4462890122242,-31.8381085352515,LOS MOLINOS,Hidroeléctrica,EPEC GENERACION,52.0,CORDOBA,Interconectado MEM
2025,2025-03-01,LMO2HI,LMO2HI,EPECORDG,EPEC GENERACION,CENTRO,CORDOBA,Argentina,HIDRAULICA <=50,Renovable,HI<50,Resto Hidráulico,Centro,1848.24,PROVINCIAL,-64.4149441951098,-31.8432649842811,LOS MOLINOS 2,Hidroeléctrica (Menor a 50 Mw),EPEC GENERACION,4.5,CORDOBA,Interconectado MEM
2025,2025-03-01,LMOLFV,LMOLFV,GENNEIAG,GENNEIA RENOVABLES MATER,CUYO,MENDOZA,Argentina,FOTOVOLTAICA,Renovable,SOL,,Cuyo,21313.774,GENNEIA S.A.,-69.6176304789578,-35.4280886276125,GENNEIA RENOVABLES MATER,Fotovoltaica,GENNEIA RENOVABLES MATER,,MENDOZA,Interconectado MEM
2025,2025-03-01,LOBODI01,LOBO,CTLOBOSG,CT LOBOS BS.AS - SULLAIR,BUENOS AIRES,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,1414.314,SULLAIR ARGENTINA S.A.,-59.078613113271,-35.1911121897838,LOBOS ENARSA,Térmica,CT LOBOS BS.AS - SULLAIR,19.68,BUENOS AIRES,Interconectado MEM
2025,2025-03-01,LOM1EO,LOM1EO,PELOMA1G,P.EOLICO LOMA BLANCA 1,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,22116.899,GOLDWIND ARGENTINA S.A.,-65.1232191171783,-43.0050803437145,L.BLANC 1 ENARS,Eólica,P.EOLICO LOMA BLANCA 1,51.2,CHUBUT,Interconectado MEM
2025,2025-03-01,LOM2EO,LOM2EO,PELOMA2G,P.EOLICO LOMA BLANCA 2,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,21226.254,GOLDWIND ARGENTINA S.A.,-65.2137377312297,-43.0283879496958,L.BLANC 2 ENARS,Eólica,P.EOLICO LOMA BLANCA 2,51.2,CHUBUT,Interconectado MEM
2025,2025-03-01,LOM3EO,LOM3EO,PELOMA3G,P.EOLICO LOMA BLANCA 3,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,22238.18,GOLDWIND ARGENTINA S.A.,-65.1585983806914,-43.0377239763828,L.BLANC 3 ENARS,Eólica,P.EOLICO LOMA BLANCA 3,51.2,CHUBUT,Interconectado MEM
2025,2025-03-01,LOM4EO,LOM4EO,CELOMABG,C.EOLICA LOMA BLANCA IV-ENARSA,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,12132.885,GENNEIA S.A.,-65.247230142897,-43.1174059735019,L.BLANC 4 ENARS,Eólica,C.EOLICA LOMA BLANCA IV-ENARSA,50.0,CHUBUT,Interconectado MEM
2025,2025-03-01,LOM6EO,LOM6EO,PELOMA6G,P.EOLICO LOMA BLANCA 6,PATAGONICA,CHUBUT,Argentina,EOLICA,Renovable,EOL,,Patagonia,40821.935,GOLDWIND ARGENTINA S.A.,-65.355199455473,-42.904735174551,PE L. Blanca 6,Eólica,P.EOLICO LOMA BLANCA 6,102.4,CHUBUT,Interconectado MEM
2025,2025-03-01,LOMAFV,LOMAFV,PSLOMASG,PQUE SOLAR E. Ren. Las Lomas,NOROESTE,LA RIOJA,Argentina,FOTOVOLTAICA,Renovable,SOL,,Noa,6779.257,MSU Energy S.A.,-67.415031491,-29.604599821,PQUE SOLAR E. Ren. Las Lomas,Fotovoltaica,PQUE SOLAR E. Ren. Las Lomas,,LA RIOJA,Interconectado MEM
2025,2025-03-01,LPALDI01,LPAL,CTLPALTG,CT LAS PALMAS -TURBODISEL,NORESTE,CHACO,Argentina,MOTOR DIESEL,Térmica,DI,,Nea,161.365,TURBODIESEL S.A.,-58.6995454553439,-27.0286943911229,L.PALMAS ENARSA,Térmica,CT LAS PALMAS -TURBODISEL,7.2,CHACO,Interconectado MEM
2025,2025-03-01,LPAZDI01,LPAZ,CTLAPAZG,CT LA PAZ Entre Rios - ENARSA,LITORAL,ENTRE RIOS,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,366.534,NACIONAL,-59.6016891424557,-30.750375060534,LA PAZ E.RIOS,Térmica,CT LA PAZ Entre Rios - ENARSA,10.8,ENTRE RIOS,Interconectado MEM
2025,2025-03-01,LPLADI01,LPLA,CTLAPLSG,CT LA PLATA - SULLAIR,GRAN BS.AS.,BUENOS AIRES,Argentina,MOTOR DIESEL,Térmica,DI,,Gba - Litoral - Buenos Aires,1582.857,SULLAIR ARGENTINA S.A.,-58.0181690068736,-34.9349660240086,LA PLATA,Térmica,CT LA PLATA - SULLAIR,40.4,BUENOS AIRES,Interconectado MEM
2025,2025-03-01,LPLCTG01,LPLC,YPFCOGEC,YPF LA PLATA COGENERACION,GRAN BS.AS.,BUENOS AIRES,Argentina,TURBO GAS,Térmica,CC,,Gba - Litoral - Buenos Aires,57175.403,YPF ENERGÍA ELÉCTRICA S.A.,-57.9203737093718,-34.8944964968605,CG La Plata YPF,Térmica,YPF LA PLATA COGENERACION,90.2,BUENOS AIRES,Interconectado MEM
2025,2025-03-01,LPUNFV,LPUNFV,PSLAPUNG,PQUE SOLAR LA PUNA SOLAR,NOROESTE,SALTA,Argentina,FOTOVOLTAICA,Renovable,SOL,,Noa,25082.188,NEOEN S.A.,-66.9030687577589,-24.1488372316815,P.S. La Puna,Fotovoltaica,PQUE SOLAR LA PUNA SOLAR,100.0,SALTA,Interconectado MEM
2025,2025-03-01,LQUIHI,LQUIHI,HRHONDOG,HIDROELECTRICA RIO HONDO SA,NOROESTE,SGO.DEL ESTERO,Argentina,HIDRAULICA <=50,Renovable,HI<50,Resto Hidráulico,Noa,130.496,HOLDEC INVERSORA S.A.,-64.3618123286165,-27.6509626836279,LOS QUIROGA,Hidroeléctrica (Menor a 50 Mw),HIDROELECTRICA RIO HONDO SA,2.0,SANTIAGO DEL ESTERO,Interconectado MEM
